id,title,post,points,postOwnerId,created_at
56,Re-engineered bandwidth-monitored workforce,"Release Glossopharyngeal Nerve, Open Approach",7,13,2019-10-18T17:29:48Z
57,De-engineered grid-enabled flexibility,"Bypass Cystic Duct to Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach",13,54,2020-02-05T12:43:00Z
58,Open-architected dedicated concept,"Drainage of Right Patella, Percutaneous Approach, Diagnostic",85,93,2020-09-12T08:17:59Z
59,De-engineered 3rd generation circuit,"Drainage of Right Knee Tendon, Percutaneous Endoscopic Approach",36,16,2020-02-09T02:51:22Z
60,Multi-channelled stable concept,"Revision of Extraluminal Device in Urethra, Percutaneous Endoscopic Approach",22,25,2019-10-14T17:56:28Z
61,Organic didactic customer loyalty,"Supplement Duodenum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",2,75,2020-04-09T15:21:47Z
62,Re-engineered context-sensitive emulation,"Drainage of Right Common Iliac Artery, Percutaneous Approach",33,45,2019-11-19T12:55:38Z
63,Open-architected exuding success,"Change Drainage Device in Upper Bursa and Ligament, External Approach",91,61,2020-07-17T05:11:06Z
64,Switchable system-worthy extranet,"Removal of Drainage Device from Lower Muscle, External Approach",48,4,2020-06-08T17:11:43Z
65,Decentralized regional emulation,Beam Radiation of Pituitary Gland using Photons >10 MeV,56,4,2020-08-08T09:57:39Z
66,Fundamental 24 hour productivity,"Bypass Stomach to Jejunum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",56,29,2020-04-18T14:57:34Z
67,Decentralized zero tolerance emulation,"Dilation of Right Eustachian Tube, Percutaneous Approach",92,81,2020-04-01T07:07:11Z
68,Monitored full-range budgetary management,"Dilation of Right Brachial Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach",42,31,2019-10-23T16:40:57Z
69,Triple-buffered asymmetric website,Plain Radiography of Left Subclavian Vein using Other Contrast,40,49,2020-09-17T19:02:17Z
70,Automated asymmetric protocol,"Reposition Cervicothoracic Vertebral Joint with Internal Fixation Device, Open Approach",56,76,2020-02-24T15:15:48Z
71,Digitized client-server matrix,"Dilation of Left Internal Iliac Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",83,20,2020-04-27T15:01:39Z
72,Cross-platform holistic Graphic Interface,"Bypass Pancreas to Small Intestine with Intraluminal Device, Open Approach",18,39,2020-01-02T13:21:23Z
73,Centralized static model,"Removal of Drainage Device from Testis, External Approach",3,3,2019-11-20T08:08:56Z
74,Re-engineered demand-driven focus group,"Removal of Synthetic Substitute from Left Tarsal Joint, Percutaneous Approach",16,49,2020-03-27T14:10:34Z
75,Future-proofed grid-enabled collaboration,"Replacement of Left Hip Joint with Nonautologous Tissue Substitute, Open Approach",76,30,2019-12-13T03:48:54Z
76,Organized national website,"Supplement Right Peroneal Artery with Autologous Tissue Substitute, Open Approach",27,83,2020-03-08T21:16:58Z
77,Persevering 24 hour knowledge user,"Destruction of Inferior Mesenteric Artery, Open Approach",24,19,2019-10-21T15:54:56Z
78,Object-based well-modulated parallelism,"Drainage of Right Lung, Open Approach",51,54,2020-02-06T22:56:11Z
79,Pre-emptive directional algorithm,Immobilization of Left Upper Extremity using Other Device,85,29,2020-08-11T03:38:55Z
80,Horizontal global success,"Reattachment of Right Hand, Open Approach",94,35,2020-09-10T22:45:12Z
81,Diverse value-added focus group,"Dilation of Left Colic Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",57,40,2020-08-30T16:59:39Z
82,Diverse even-keeled intranet,"Revision of External Fixation Device in Right Radius, Percutaneous Endoscopic Approach",76,79,2019-10-09T19:21:56Z
83,Persevering optimal hierarchy,Stereotactic Other Photon Radiosurgery of Sinuses,52,23,2019-11-19T00:49:07Z
84,Automated clear-thinking product,"Fusion of Lumbosacral Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Open Approach",74,41,2020-07-08T06:20:32Z
85,Sharable scalable projection,"Extirpation of Matter from Tonsils, Percutaneous Approach",47,71,2020-09-08T08:43:15Z
86,Virtual zero tolerance hardware,"Occlusion of Left Lower Lobe Bronchus with Intraluminal Device, Percutaneous Approach",71,38,2020-06-09T22:50:54Z
87,Optimized multi-state extranet,"Repair Lumbar Vertebral Disc, External Approach",73,1,2020-08-13T06:11:19Z
88,Devolved full-range policy,Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Breasts using Technetium 99m (Tc-99m),38,44,2020-06-23T12:10:00Z
89,Automated interactive help-desk,"Repair Head Muscle, Percutaneous Endoscopic Approach",32,75,2020-04-22T12:53:49Z
90,Automated analyzing paradigm,"Dilation of Face Artery, Bifurcation, Percutaneous Endoscopic Approach",2,7,2020-02-18T16:16:56Z
91,Configurable upward-trending framework,"Alteration of Left Buttock with Synthetic Substitute, Open Approach",31,48,2020-04-24T10:08:15Z
92,Cross-platform hybrid migration,"Detachment at Left Elbow Region, Open Approach",38,12,2019-12-26T10:38:54Z
93,Optimized real-time help-desk,"Restriction of Left Lesser Saphenous Vein with Intraluminal Device, Open Approach",45,32,2020-08-11T22:42:47Z
94,Balanced homogeneous implementation,"Reposition Left Pulmonary Artery, Open Approach",41,99,2020-03-11T21:28:01Z
95,Advanced systematic knowledge base,"Excision of Accessory Pancreatic Duct, Open Approach",99,34,2020-05-25T20:23:05Z
96,Managed heuristic instruction set,"Excision of Mesentery, Percutaneous Approach",53,92,2020-06-14T22:41:03Z
97,Centralized grid-enabled encoding,"Removal of Drainage Device from Peritoneal Cavity, Open Approach",86,48,2019-12-10T20:37:38Z
98,Organic high-level customer loyalty,"Reattachment of Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach",29,45,2020-02-05T01:16:14Z
99,Down-sized discrete challenge,Plain Radiography of Left Common Carotid Artery using Other Contrast,36,46,2019-10-19T18:05:30Z
100,Devolved client-server interface,Compression of Face using Intermittent Pressure Device,77,83,2019-11-13T23:13:01Z
101,Distributed incremental info-mediaries,"Fusion of Right Elbow Joint with Internal Fixation Device, Percutaneous Approach",70,32,2019-12-03T20:10:55Z
102,Persevering exuding approach,"Supplement Right Finger Phalangeal Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",99,25,2020-07-12T21:48:47Z
103,Front-line multi-tasking projection,"Monitoring of Venous Saturation, Central, Open Approach",64,4,2020-06-06T21:36:10Z
104,Upgradable transitional matrices,"Excision of Right External Iliac Vein, Percutaneous Approach, Diagnostic",72,62,2020-05-27T16:56:28Z
105,User-friendly system-worthy moratorium,Removal of Other Device on Right Lower Leg,23,50,2019-10-24T04:19:53Z
106,Organized 3rd generation neural-net,"Introduction of Intracirculatory Anesthetic into Peripheral Artery, Percutaneous Approach",44,47,2019-11-19T16:07:27Z
107,Monitored next generation structure,"Dilation of Right External Carotid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach",68,51,2019-11-26T19:26:00Z
108,Robust responsive process improvement,"Magnetic Resonance Imaging (MRI) of Right Shoulder using Other Contrast, Unenhanced and Enhanced",66,6,2019-10-21T21:03:11Z
109,Reverse-engineered impactful moratorium,"Insertion of Reservoir into Right Upper Arm Subcutaneous Tissue and Fascia, Percutaneous Approach",95,50,2020-01-20T13:36:07Z
110,Upgradable 24 hour implementation,"Insertion of Infusion Pump into Left Upper Arm Subcutaneous Tissue and Fascia, Open Approach",45,11,2020-01-03T08:51:11Z
111,Horizontal directional definition,"Insertion of Infusion Device into Fallopian Tube, Percutaneous Approach",65,47,2019-11-01T01:49:03Z
112,Adaptive reciprocal portal,"Replacement of Genitalia Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach",83,34,2020-07-09T16:19:07Z
113,Optimized tertiary complexity,"Pheresis of Hematopoietic Stem Cells, Single",55,98,2020-07-05T09:59:19Z
114,Fundamental multi-tasking orchestration,"Revision of External Fixation Device in Right Wrist Joint, Percutaneous Approach",70,58,2019-12-26T15:18:03Z
115,Adaptive tertiary internet solution,"Drainage of Upper Esophagus, Open Approach",58,32,2020-01-11T09:01:14Z
116,Synchronised discrete methodology,"Introduction of Other Therapeutic Substance into Peripheral Artery, Open Approach",17,84,2020-02-19T10:38:43Z
117,Face to face hybrid hub,"Bypass Right Renal Vein to Lower Vein, Percutaneous Endoscopic Approach",58,58,2020-04-05T11:50:14Z
118,User-centric systemic info-mediaries,Ultrasonography of Inferior Vena Cava,85,59,2020-04-13T05:41:04Z
119,Multi-lateral intermediate concept,"Drainage of Right Temporal Bone, Percutaneous Endoscopic Approach, Diagnostic",60,51,2020-05-22T20:20:01Z
120,Polarised actuating strategy,"Drainage of Right Rib with Drainage Device, Percutaneous Approach",18,77,2020-01-20T13:42:02Z
121,Innovative leading edge leverage,"Dilation of Right Colic Artery with Intraluminal Device, Open Approach",35,82,2020-08-11T18:24:52Z
122,Compatible actuating infrastructure,"Drainage of Left Kidney Pelvis with Drainage Device, Via Natural or Artificial Opening",54,25,2019-10-26T21:13:42Z
123,Networked hybrid local area network,"Bypass Left Femoral Artery to Foot Artery, Percutaneous Endoscopic Approach",9,18,2020-08-09T17:56:36Z
124,Digitized incremental flexibility,"Replacement of Tricuspid Valve with Synthetic Substitute, Open Approach",20,27,2020-03-01T17:45:54Z
125,Balanced bottom-line forecast,"Excision of Right Lower Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic",69,17,2020-04-16T06:32:15Z
126,Fully-configurable empowering installation,"Destruction of Right Inguinal Lymphatic, Percutaneous Approach",15,69,2020-07-14T11:45:29Z
127,Enhanced modular hub,"Supplement Lower Jaw with Autologous Tissue Substitute, Open Approach",97,55,2020-08-08T15:12:35Z
128,Front-line content-based contingency,"Revision of Nonautologous Tissue Substitute in Right Fibula, Percutaneous Approach",91,41,2019-12-08T17:43:19Z
129,Profound static solution,"Insertion of Infusion Device into Cervical Vertebral Disc, Open Approach",43,85,2020-01-23T20:52:52Z
130,User-centric didactic customer loyalty,"Insertion of External Fixation Device into Right Humeral Shaft, Percutaneous Approach",45,36,2020-03-29T18:12:04Z
131,Decentralized actuating architecture,"Supplement Right Hand Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",8,41,2020-04-23T07:30:39Z
132,Customer-focused executive workforce,Fluoroscopy of Pelvis using Other Contrast,97,85,2019-12-27T21:41:36Z
133,Reactive responsive access,Computerized Tomography (CT Scan) of Left Lower Leg,60,68,2020-06-03T19:44:40Z
134,Quality-focused local structure,"Bypass Azygos Vein to Upper Vein with Autologous Arterial Tissue, Open Approach",17,7,2019-10-20T13:55:11Z
135,Cloned multi-tasking intranet,"Computerized Tomography (CT Scan) of Chest and Abdomen using Low Osmolar Contrast, Unenhanced and Enhanced",53,31,2020-05-23T23:44:49Z
136,Grass-roots needs-based process improvement,"Release Liver, Percutaneous Endoscopic Approach",81,77,2019-12-25T00:34:02Z
137,Quality-focused object-oriented productivity,"Extirpation of Matter from Cervical Plexus, Percutaneous Endoscopic Approach",27,47,2020-08-20T21:55:42Z
138,Re-engineered full-range local area network,"Insertion of Other Device into Left Buttock, Percutaneous Approach",51,37,2020-09-03T03:05:47Z
139,Synergized content-based pricing structure,Low Dose Rate (LDR) Brachytherapy of Sinuses using Other Isotope,59,33,2020-06-24T08:19:41Z
140,Diverse heuristic groupware,"Supplement Left Acromioclavicular Joint with Autologous Tissue Substitute, Percutaneous Approach",39,31,2020-02-24T00:06:25Z
141,Fully-configurable logistical alliance,"Drainage of Head, Open Approach, Diagnostic",88,83,2020-01-01T07:35:25Z
142,User-friendly contextually-based solution,"Dilation of Right Renal Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",79,100,2020-07-21T10:38:32Z
143,Networked bandwidth-monitored moderator,"Occlusion of Ileum with Extraluminal Device, Percutaneous Endoscopic Approach",80,45,2020-02-28T07:38:45Z
144,Fundamental needs-based access,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Open Approach",32,96,2020-05-15T04:38:19Z
145,Balanced hybrid customer loyalty,"Dilation of Left Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach",24,71,2020-02-29T15:58:39Z
146,Enhanced interactive synergy,"Replacement of Left Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening",68,29,2020-06-09T11:11:53Z
147,Advanced interactive open system,"Division of Right Foot Muscle, Percutaneous Endoscopic Approach",45,50,2020-01-13T00:08:00Z
148,Optional intermediate focus group,"Introduction of Local Anesthetic into Lower GI, Via Natural or Artificial Opening",5,51,2020-04-02T15:33:53Z
149,Self-enabling asymmetric structure,"Drainage of Right Common Iliac Vein with Drainage Device, Percutaneous Endoscopic Approach",82,46,2020-04-04T06:32:11Z
150,Reactive well-modulated methodology,"Reposition Right Upper Leg Muscle, Percutaneous Endoscopic Approach",71,99,2020-06-03T22:48:38Z
151,Realigned needs-based infrastructure,"Supplement of Face Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Open Approach",63,46,2020-05-18T01:13:32Z
152,Integrated 5th generation software,"Revision of Intraluminal Device in Lower Vein, External Approach",69,68,2019-10-15T20:28:46Z
153,Quality-focused local productivity,"Fusion of 2 or more Lumbar Vertebral Joints with Synthetic Substitute, Anterior Approach, Anterior Column, Percutaneous Approach",8,83,2019-12-27T12:16:12Z
154,Front-line intermediate success,"Drainage of Cerebellum with Drainage Device, Open Approach",76,98,2020-01-12T17:34:26Z
155,Secured neutral instruction set,"Dilation of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic",17,54,2020-07-12T13:36:32Z
156,Reduced zero defect knowledge user,"Replacement of Right Humeral Head with Synthetic Substitute, Open Approach",66,7,2019-12-08T00:37:53Z
157,Intuitive even-keeled attitude,Binaural Hearing Aid Device Fitting using Audiovisual Equipment,93,23,2020-04-07T03:27:29Z
158,Mandatory 6th generation architecture,"Repair Left Common Iliac Artery, Open Approach",69,37,2020-07-09T18:00:55Z
159,Right-sized grid-enabled conglomeration,"Replacement of Right Upper Arm Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach",26,92,2019-11-23T23:29:31Z
160,Assimilated neutral knowledge base,"Dilation of Left Common Iliac Artery with Intraluminal Device, Percutaneous Endoscopic Approach",49,45,2019-11-07T17:51:19Z
161,Reduced bandwidth-monitored budgetary management,Speech and/or Language Screening Assessment using Audiovisual Equipment,14,61,2020-05-28T12:51:45Z
162,Public-key local customer loyalty,"Fluoroscopy of Inferior Mesenteric Artery using Low Osmolar Contrast, Laser Intraoperative",76,62,2020-02-15T20:55:17Z
163,Visionary tertiary toolset,"Revision of Infusion Device in Cerebral Ventricle, Percutaneous Approach",40,82,2020-04-09T02:51:59Z
164,Fully-configurable coherent approach,"Inspection of Right Ankle Region, Percutaneous Approach",81,88,2020-03-09T23:55:34Z
165,Switchable disintermediate alliance,"Dilation of Right Common Iliac Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",96,92,2020-08-24T17:12:29Z
166,Assimilated full-range ability,"Beam Radiation of Rib(s) using Electrons, Intraoperative",82,74,2020-07-18T00:48:40Z
167,Versatile didactic methodology,"Supplement Lingula Bronchus with Nonautologous Tissue Substitute, Open Approach",57,87,2020-06-12T15:43:28Z
168,Managed human-resource capacity,"Extirpation of Matter from Lesser Omentum, Percutaneous Approach",45,71,2020-07-11T07:22:49Z
169,Diverse empowering system engine,"Dilation of Left Fallopian Tube with Intraluminal Device, Percutaneous Approach",70,32,2020-06-13T02:49:07Z
170,Versatile grid-enabled product,"Replacement of Left Upper Arm Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",27,17,2019-12-21T18:42:48Z
171,Devolved dynamic middleware,"Introduction of Radioactive Substance into Mouth and Pharynx, Via Natural or Artificial Opening",65,50,2020-01-26T01:47:41Z
172,Reverse-engineered cohesive model,"Bypass Splenic Vein to Left Renal Vein with Synthetic Substitute, Open Approach",60,56,2020-03-25T18:55:20Z
173,Centralized system-worthy service-desk,"Fusion of Occipital-cervical Joint with Interbody Fusion Device, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach",31,38,2019-11-04T15:47:25Z
174,Extended upward-trending concept,"Reposition Ileum, Percutaneous Endoscopic Approach",11,18,2020-08-24T18:21:58Z
175,Implemented methodical artificial intelligence,"Restriction of Esophagogastric Junction, Percutaneous Approach",58,100,2020-08-11T22:58:52Z
176,Vision-oriented zero administration encoding,"Transfer Left Foot Muscle with Subcutaneous Tissue, Open Approach",32,53,2019-12-12T07:02:09Z
177,Open-architected solution-oriented protocol,"Transfer Optic Nerve to Trochlear Nerve, Percutaneous Endoscopic Approach",56,27,2020-06-30T22:14:53Z
178,Diverse holistic task-force,"Replacement of Right Femoral Shaft with Autologous Tissue Substitute, Open Approach",32,11,2019-10-04T12:57:19Z
179,Operative analyzing adapter,"Imaging, Anatomical Regions, Fluoroscopy",14,95,2019-12-17T02:09:32Z
180,Phased local migration,"Bypass Left Ureter to Colocutaneous, Percutaneous Endoscopic Approach",47,99,2019-12-16T08:49:03Z
181,Pre-emptive neutral time-frame,"Resection of Left Middle Ear, Open Approach",92,11,2020-06-12T15:40:59Z
182,Programmable maximized migration,"Release Right Finger Phalanx, Percutaneous Endoscopic Approach",41,7,2020-02-13T11:09:39Z
183,De-engineered encompassing functionalities,"Replacement of Left Renal Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",51,39,2020-06-17T01:11:57Z
184,Intuitive didactic hardware,"Excision of Left Internal Mammary Artery, Open Approach",61,26,2020-09-06T00:59:49Z
185,Devolved executive initiative,"Revision of Autologous Tissue Substitute in Upper Intestinal Tract, Percutaneous Approach",83,53,2020-08-22T13:52:01Z
186,Monitored interactive artificial intelligence,"Replacement of Left Breast with Nonautologous Tissue Substitute, Open Approach",13,8,2020-05-22T23:42:02Z
187,Stand-alone leading edge synergy,"Bypass Descending Colon to Descending Colon, Percutaneous Endoscopic Approach",8,4,2020-03-16T11:21:06Z
188,Re-contextualized human-resource implementation,"Drainage of Left Vocal Cord, Via Natural or Artificial Opening",89,16,2019-10-18T06:23:26Z
189,Multi-layered systemic focus group,"Extraction of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach",83,33,2019-10-06T05:51:55Z
190,Reduced encompassing monitoring,"Drainage of Right Fallopian Tube, Percutaneous Approach",6,12,2020-06-14T08:18:04Z
191,Innovative web-enabled help-desk,"Dilation of Superior Mesenteric Artery with Drug-eluting Intraluminal Device, Percutaneous Approach",62,65,2019-12-19T18:24:53Z
192,Configurable stable portal,"Destruction of Head and Neck Sympathetic Nerve, Percutaneous Approach",42,44,2019-10-17T17:49:35Z
193,Enterprise-wide radical framework,"Bypass Right Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Open Approach",34,35,2020-07-21T08:50:00Z
194,Extended needs-based knowledge base,"Removal of Drainage Device from Left Metacarpocarpal Joint, External Approach",95,54,2020-02-09T04:33:15Z
195,Pre-emptive encompassing parallelism,"Excision of Left Hand Subcutaneous Tissue and Fascia, Percutaneous Approach, Diagnostic",14,71,2020-07-10T01:44:16Z
196,Managed zero tolerance service-desk,"Drainage of Ileum, Percutaneous Endoscopic Approach, Diagnostic",12,90,2020-03-13T21:09:20Z
197,Assimilated holistic frame,"Excision of Face Subcutaneous Tissue and Fascia, Percutaneous Approach",43,7,2020-08-08T08:49:40Z
198,Polarised web-enabled utilisation,"Revision of Infusion Device in Vas Deferens, Open Approach",31,11,2019-12-24T21:14:47Z
199,Public-key bifurcated migration,"Fusion of Cervical Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach",80,66,2019-12-08T03:05:19Z
200,Compatible attitude-oriented synergy,"Supplement Left Vertebral Artery with Synthetic Substitute, Open Approach",78,32,2020-05-15T14:36:16Z
201,Polarised attitude-oriented synergy,"Drainage of Right Clavicle, Percutaneous Endoscopic Approach",94,31,2020-07-01T01:07:57Z
202,Managed secondary budgetary management,"Reposition Left Knee Joint, Percutaneous Approach",17,62,2020-01-31T01:08:47Z
203,Profit-focused user-facing policy,"Revision of Internal Fixation Device in Right Acetabulum, Percutaneous Endoscopic Approach",69,75,2020-07-03T16:33:23Z
204,Sharable non-volatile extranet,"Alteration of Upper Back with Autologous Tissue Substitute, Percutaneous Approach",55,31,2020-09-16T09:09:29Z
